Value,REG_CODE_7,REG_NAME_7,MVG_NAME,MVS_NAME,count,pct,count.Extant,pct.Extant,EFG_DK,EFG_IBRA_MVS,EFG_IBRA_MVG,EGF_CM,EFG_combined
1381,JAF,Jarrah Forest,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,2119,0.0003,3333,0.0004,T3.2,T3.2,T3.2,,T3.2
1382,JAF,Jarrah Forest,Casuarina Forests and Woodlands,Casuarina and Allocasuarina forests and woodlands,303,0,145,0,"T2.6, 0.6; T4.4, 0.4","T2.6, 0.6; T4.4, 0.4","T2.6, 0.6; T4.4, 0.4",,"T2.6, 0.6; T4.4, 0.4"
1383,JAF,Jarrah Forest,Mallee Woodlands and Shrublands,Mallee with hummock grass,345,0,214,0,T3.2,T3.2,T3.2,,T3.2
1384,JAF,Jarrah Forest,Low Closed Forests and Tall Closed Shrublands,"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)",114,0,,,,,,,
1385,JAF,Jarrah Forest,Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,3052,0.0004,721,0.0001,T3.2,T3.2,T3.2,,T3.2
1386,JAF,Jarrah Forest,Other Shrublands,Other shrublands,32103,0.0042,19809,0.0026,"TF1.2, 0.7; T3.2, 0.3","TF1.2, 0.7; T3.2, 0.3","TF1.2, 0.7; T3.2, 0.3",,"TF1.2, 0.7; T3.2, 0.3"
1387,JAF,Jarrah Forest,"Other Grasslands, Herblands, Sedgelands and Rushlands","Wet tussock grassland with herbs, sedges or rushes, herblands or ferns",20868,0.0027,,,,,"TF1.4, 0.7; TF1.6, 0.3",,"TF1.4, 0.7; TF1.6, 0.3"
1388,JAF,Jarrah Forest,"Naturally bare - sand, rock, claypan, mudflat","Naturally bare, sand, rock, claypan, mudflat",8413,0.0011,7500,0.001,"T3.2, 0.9; MT2.1, 0.1","T3.2, 0.9; MT2.1, 0.1","T3.2, 0.9; MT2.1, 0.1",,"T3.2, 0.9; MT2.1, 0.1"
1389,JAF,Jarrah Forest,"Inland aquatic - freshwater, salt lakes, lagoons",Salt lakes and lagoons,714,0.0001,306,0,F2.7,F2.7,F2.3,,F2.7
1390,JAF,Jarrah Forest,"Inland aquatic - freshwater, salt lakes, lagoons","Freshwater, dams, lakes, lagoons or aquatic plants",9948,0.0013,2593,0.0003,F2.3,F2.3,F2.3,,F2.3
1391,JAF,Jarrah Forest,Eucalypt Open Woodlands,Eucalyptus open woodlands with shrubby understorey,1719,0.0002,1624,0.0002,T2.6,T2.6,T2.6,,T2.6
1392,JAF,Jarrah Forest,Other Shrublands,Melaleuca shrublands and open shrublands,2261,0.0003,1594,0.0002,"TF1.2, 0.4; T3.2, 0.6","TF1.2, 0.4; T3.2, 0.6","TF1.2, 0.7; T3.2, 0.3",,"TF1.2, 0.4; T3.2, 0.6"
1393,JAF,Jarrah Forest,Other Forests and Woodlands,Banksia woodlands,2321,0.0003,767,0.0001,"T2.6, 0.2; T3.2, 0.8","T2.6, 0.2; T3.2, 0.8","T2.6, 0.2; T3.2, 0.8",,"T2.6, 0.2; T3.2, 0.8"
1394,JAF,Jarrah Forest,Eucalypt Tall Open Forests,Eucalyptus tall open forest with a fine-leaved shrubby understorey,4108,0.0005,2554,0.0003,T2.5,T2.5,T2.5,,T2.5
1395,JAF,Jarrah Forest,Eucalypt Open Forests,Eucalyptus tall open forest with a fine-leaved shrubby understorey,239,0,,,,T2.5,T2.6,,T2.5
1396,JAF,Jarrah Forest,Eucalypt Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",20091,0.0026,,,,,T2.6,,T2.6
1397,JAF,Jarrah Forest,"Other Grasslands, Herblands, Sedgelands and Rushlands","Sedgelands, rushes or reeds",13488,0.0018,13397,0.0017,"TF1.4, 0.7; TF1.6, 0.3","TF1.4, 0.7; TF1.6, 0.3","TF1.4, 0.7; TF1.6, 0.3",,"TF1.4, 0.7; TF1.6, 0.3"
1398,JAF,Jarrah Forest,Mallee Open Woodlands and Sparse Mallee Shrublands,Open mallee woodlands and sparse mallee shrublands with an open shrubby understorey,314,0,,,,,T3.2,,T3.2
1399,JAF,Jarrah Forest,Other Open Woodlands,Melaleuca open woodlands,25802,0.0034,,,,,,,
1400,KAN,Kanmantoo,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,6686,0.0009,3578,0.0005,T2.6,T2.6,T2.6,,T2.6
1401,KAN,Kanmantoo,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,1747,0.0002,4855,0.0006,T2.6,T2.6,T2.6,,T2.6
1402,KAN,Kanmantoo,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,295,0,166,0,T4.4,T4.4,T2.6,,T4.4
1403,KAN,Kanmantoo,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,65739,0.0086,66554,0.0087,T2.6,T2.6,T4.4,,T2.6
1404,KAN,Kanmantoo,Eucalypt Open Forests,Eucalyptus woodlands with a tussock grass understorey,84216,0.011,,,,T4.4,T2.6,,T4.4
1405,KAN,Kanmantoo,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,374233,0.0487,2692,0.0004,T4.4,T4.4,T4.4,,T4.4
1406,KAN,Kanmantoo,Melaleuca Forests and Woodlands,Melaleuca open forests and woodlands,78,0,78,0,TF1.2,TF1.2,TF1.2,,TF1.2
1407,KAN,Kanmantoo,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,1150,0.0001,1114,0.0001,"T4.4, 0.7, T2.6, 0.3","T4.4, 0.7, T2.6, 0.3",T2.6,,"T4.4, 0.7, T2.6, 0.3"
1408,KAN,Kanmantoo,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,545,0.0001,540,0.0001,T2.6,T2.6,T2.6,,T2.6
1409,KAN,Kanmantoo,Acacia Open Woodlands,Acacia (+/- low) open woodlands and shrublands +/- tussock grass,111,0,104,0,T5.3,T5.3,T5.3,,T5.3
1410,KAN,Kanmantoo,Acacia Shrublands,Acacia (+/- low) open woodlands and sparse shrublands with a shrubby understorey,186,0,105,0,T3.2,T3.2,T2.6,,T3.2
1411,KAN,Kanmantoo,Casuarina Forests and Woodlands,Casuarina and Allocasuarina forests and woodlands,2528,0.0003,2652,0.0003,T2.6,T2.6,T2.6,,T2.6
1412,KAN,Kanmantoo,Mallee Woodlands and Shrublands,Mallee with hummock grass,150,0,150,0,T5.6,T5.6,T3.2,,T5.6
1413,KAN,Kanmantoo,Low Closed Forests and Tall Closed Shrublands,"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)",341,0,418,0.0001,T2.6,T2.6,T2.6,,T2.6
1414,KAN,Kanmantoo,Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,121732,0.0158,119605,0.0156,T3.2,T3.2,T3.2,,T3.2
1415,KAN,Kanmantoo,Heathlands,Heathlands,179,0,6391,0.0008,"T3.2, 0.9; TF1.6, 0.1","T3.2, 0.9; TF1.6, 0.1","T3.2, 0.9; TF1.6, 0.1",,"T3.2, 0.9; TF1.6, 0.1"
1416,KAN,Kanmantoo,"Chenopod Shrublands, Samphire Shrublands and Forblands",Saltbush and bluebush shrublands,33,0,48,0,T5.1,T5.1,MFT1.3,,T5.1
1417,KAN,Kanmantoo,Other Shrublands,Other shrublands,2746,0.0004,500,0.0001,T3.2,T3.2,"MT2.1, 0.9; T3.2, 0.1",,T3.2
1418,KAN,Kanmantoo,Hummock Grasslands,Hummock grasslands,8,0,8,0,T5.3,T5.3,T5.3,,T5.3
1419,KAN,Kanmantoo,Tussock Grasslands,Temperate tussock grasslands,18,0,10910,0.0014,"T4.5, 0.8; T5.1, 0.2","T4.5, 0.8; T5.1, 0.2","T4.5, 0.8; T5.1, 0.2",,"T4.5, 0.8; T5.1, 0.2"
1420,KAN,Kanmantoo,Tussock Grasslands,Other tussock grasslands,83,0,,,,,"T4.5, 0.8; T5.1, 0.2",,"T4.5, 0.8; T5.1, 0.2"
1421,KAN,Kanmantoo,"Other Grasslands, Herblands, Sedgelands and Rushlands","Wet tussock grassland with herbs, sedges or rushes, herblands or ferns",666,0.0001,912,0.0001,"T4.4, 0.6; T4.5, 0.4","T4.4, 0.6; T4.5, 0.4",TF1.3,,"T4.4, 0.6; T4.5, 0.4"
1422,KAN,Kanmantoo,"Chenopod Shrublands, Samphire Shrublands and Forblands","Mixed chenopod, samphire +/- forbs",1330,0.0002,1317,0.0002,MFT1.3,MFT1.3,MFT1.3,,MFT1.3
1423,KAN,Kanmantoo,"Naturally bare - sand, rock, claypan, mudflat","Naturally bare, sand, rock, claypan, mudflat",5048,0.0007,5048,0.0007,"MT2.1, 0.6; T3.2, 0.4","MT2.1, 0.6; T3.2, 0.4","MT2.1, 0.6; T3.2, 0.4",,"MT2.1, 0.6; T3.2, 0.4"
1424,KAN,Kanmantoo,"Inland aquatic - freshwater, salt lakes, lagoons","Freshwater, dams, lakes, lagoons or aquatic plants",3451,0.0004,3450,0.0004,"F2.2, 0.6; F2.5, 0.4","F2.2, 0.6; F2.5, 0.4","F2.2, 0.6; F2.5, 0.4",,"F2.2, 0.6; F2.5, 0.4"
1425,KAN,Kanmantoo,Sea and estuaries,"Sea, estuaries (includes seagrass)",1789,0.0002,1793,0.0002,"FM1.3, 0.7; M1.1, 0.3","FM1.3, 0.7; M1.1, 0.3","FM1.3, 0.7; M1.1, 0.3",,"FM1.3, 0.7; M1.1, 0.3"
1426,KAN,Kanmantoo,Eucalypt Open Woodlands,Eucalyptus open woodlands with shrubby understorey,9950,0.0013,10022,0.0013,T2.6,T2.6,T2.6,,T2.6
1427,KAN,Kanmantoo,Eucalypt Open Woodlands,Eucalyptus open woodlands with a grassy understorey,1630,0.0002,1632,0.0002,T4.4,T4.4,T2.6,,T4.4
1428,KAN,Kanmantoo,Low Closed Forests and Tall Closed Shrublands,Melaleuca shrublands and open shrublands,50,0,,,,"MT2.1, 0.9; T3.2, 0.1",T2.6,,"MT2.1, 0.9; T3.2, 0.1"
1429,KAN,Kanmantoo,Other Shrublands,Melaleuca shrublands and open shrublands,6004,0.0008,4327,0.0006,"MT2.1, 0.9; T3.2, 0.1","MT2.1, 0.9; T3.2, 0.1","MT2.1, 0.9; T3.2, 0.1",,"MT2.1, 0.9; T3.2, 0.1"
1430,KAN,Kanmantoo,Eucalypt Open Woodlands,Eucalyptus low open woodlands with a shrubby understorey,6197,0.0008,6239,0.0008,T2.6,T2.6,T2.6,,T2.6
1431,KAN,Kanmantoo,Mallee Woodlands and Shrublands,Mallee with an open shrubby understorey,313,0,,,,,T3.2,,T3.2
1432,KAN,Kanmantoo,Other Shrublands,Lignum shrublands and wetlands,7,0,7,0,TF1.2,TF1.2,"MT2.1, 0.9; T3.2, 0.1",,TF1.2
1433,KAN,Kanmantoo,Eucalypt Woodlands,"Eucalyptus woodlands with ferns, herbs, sedges, rushes or wet tussock grassland",13,0,1080,0.0001,T4.4,T4.4,T4.4,,T4.4
1434,KAN,Kanmantoo,Eucalypt Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",12,0,61,0,T2.5,T2.5,T2.6,,T2.5
1435,KAN,Kanmantoo,Mallee Woodlands and Shrublands,Mallee with a tussock grass understorey,82552,0.0107,144,0,T3.2,T3.2,T3.2,,T3.2
1436,KAN,Kanmantoo,"Other Grasslands, Herblands, Sedgelands and Rushlands","Sedgelands, rushes or reeds",1807,0.0002,3244,0.0004,TF1.3,TF1.3,TF1.3,,TF1.3
1437,KAN,Kanmantoo,Mallee Open Woodlands and Sparse Mallee Shrublands,Open mallee woodlands and sparse mallee shrublands with a tussock grass understorey,2190,0.0003,2207,0.0003,T5.6,T5.6,"T3.2, 0.8; T5.6, 0.2",,T5.6
1438,KAN,Kanmantoo,Mallee Open Woodlands and Sparse Mallee Shrublands,Open mallee woodlands and sparse mallee shrublands with an open shrubby understorey,16233,0.0021,16142,0.0021,"T3.2, 0.8; T5.6, 0.2","T3.2, 0.8; T5.6, 0.2","T3.2, 0.8; T5.6, 0.2",,"T3.2, 0.8; T5.6, 0.2"
1439,KAN,Kanmantoo,Mallee Open Woodlands and Sparse Mallee Shrublands,Open mallee woodlands and sparse mallee shrublands with a dense shrubby understorey,460,0.0001,460,0.0001,T5.6,T5.6,"T3.2, 0.8; T5.6, 0.2",,T5.6
1440,KAN,Kanmantoo,Other Open Woodlands,Callitris open woodlands,374,0,376,0,T5.6,T5.6,T2.6,,T5.6
1441,KAN,Kanmantoo,Other Open Woodlands,Casuarina and Allocasuarina open woodlands with a shrubby understorey,554,0.0001,554,0.0001,T2.6,T2.6,T2.6,,T2.6
1442,KAN,Kanmantoo,Other Open Woodlands,Melaleuca open woodlands,16,0,64,0,TF1.2,TF1.2,T2.6,,TF1.2
1443,KAN,Kanmantoo,Unclassified native vegetation,Unclassified native vegetation,162,0,163,0,"F2.2, 0.6; F2.3, 0.4","F2.2, 0.6; F2.3, 0.4","F2.2, 0.6; F2.3, 0.4",,"F2.2, 0.6; F2.3, 0.4"
1444,KAN,Kanmantoo,Mallee Open Woodlands and Sparse Mallee Shrublands,Unknown/no data,8822,0.0011,,,,,"T3.2, 0.8; T5.6, 0.2",,"T3.2, 0.8; T5.6, 0.2"
1445,KIN,King,Rainforests and Vine Thickets,Cool temperate rainforest,37942,0.0049,36206,0.0047,T2.3,T2.3,T2.3,,T2.3
1446,KIN,King,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),92777,0.0121,55848,0.0073,T2.5,T2.5,T2.5,,T2.5
1447,KIN,King,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,25222,0.0033,9731,0.0013,T2.6,T2.6,T2.6,,T2.6
1448,KIN,King,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,109,0,,,,T2.6,,,T2.6
1449,KIN,King,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,12,0,,,,,T2.6,,T2.6
1450,KIN,King,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,65042,0.0085,11201,0.0015,T2.6,T2.6,T2.6,,T2.6
1451,KIN,King,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,436,0.0001,436,0.0001,T4.4,T4.4,T2.6,,T4.4
1452,KIN,King,Acacia Forests and Woodlands,Other Acacia forests and woodlands,9843,0.0013,,,,,,,
1453,KIN,King,Melaleuca Forests and Woodlands,Melaleuca open forests and woodlands,4596,0.0006,4596,0.0006,TF1.6,TF1.6,TF1.6,,TF1.6
1454,KIN,King,Other Forests and Woodlands,Other forests and woodlands,1,0,,,,,TF1.6,,TF1.6
1455,KIN,King,"Naturally bare - sand, rock, claypan, mudflat","Boulders/rock with algae, lichen or scattered plants, or alpine fjaeldmarks",375,0,380,0,"MT1.1, 0.4; MT2.1, 0.6","MT1.1, 0.4; MT2.1, 0.6","MT1.1, 0.1; MT1.3, 0.4; MT2.1, 0.5",,"MT1.1, 0.4; MT2.1, 0.6"
1456,KIN,King,Low Closed Forests and Tall Closed Shrublands,"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)",76070,0.0099,40572,0.0053,"T3.2, 0.6; T2.6, 0.4","T3.2, 0.6; T2.6, 0.4","T3.2, 0.6; T2.6, 0.4",,"T3.2, 0.6; T2.6, 0.4"
1457,KIN,King,Other Shrublands,"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)",76,0,,,,"T3.2, 0.6; T2.6, 0.4",T3.2,,"T3.2, 0.6; T2.6, 0.4"
1458,KIN,King,Heathlands,Heathlands,18002,0.0023,17382,0.0023,T3.2,T3.2,T3.2,,T3.2
1459,KIN,King,Other Shrublands,Other shrublands,24762,0.0032,24657,0.0032,T3.2,T3.2,T3.2,,T3.2
1460,KIN,King,Heathlands,Temperate tussock grasslands,64,0,,,,"T4.4, 0.49; T4.5, 0.51",T3.2,,"T4.4, 0.49; T4.5, 0.51"
1461,KIN,King,Heathlands,Other tussock grasslands,2935,0.0004,,,,"MT2.1, 0.51; MT2.2, 0.49",T3.2,,"MT2.1, 0.51; MT2.2, 0.49"
1462,KIN,King,"Other Grasslands, Herblands, Sedgelands and Rushlands","Wet tussock grassland with herbs, sedges or rushes, herblands or ferns",69,0,69,0,TF1.4,TF1.4,TF1.6,,TF1.4
1463,KIN,King,"Chenopod Shrublands, Samphire Shrublands and Forblands","Mixed chenopod, samphire +/- forbs",1019,0.0001,1016,0.0001,MFT1.3,MFT1.3,MFT1.3,,MFT1.3
1464,KIN,King,"Other Grasslands, Herblands, Sedgelands and Rushlands",Saline or brackish sedgelands or grasslands,521,0.0001,512,0.0001,MFT1.3,MFT1.3,TF1.6,,MFT1.3
1465,KIN,King,"Naturally bare - sand, rock, claypan, mudflat","Naturally bare, sand, rock, claypan, mudflat",2250,0.0003,2193,0.0003,"MT1.1, 0.1; MT1.3, 0.4; MT2.1, 0.5","MT1.1, 0.1; MT1.3, 0.4; MT2.1, 0.5","MT1.1, 0.1; MT1.3, 0.4; MT2.1, 0.5",,"MT1.1, 0.1; MT1.3, 0.4; MT2.1, 0.5"
1466,KIN,King,"Inland aquatic - freshwater, salt lakes, lagoons","Freshwater, dams, lakes, lagoons or aquatic plants",1303,0.0002,1584,0.0002,"F2.2, 0.3; F3.1, 0.7","F2.2, 0.3; F3.1, 0.7","F2.2, 0.3; F3.1, 0.7",,"F2.2, 0.3; F3.1, 0.7"
1467,KIN,King,Mallee Open Woodlands and Sparse Mallee Shrublands,"Freshwater, dams, lakes, lagoons or aquatic plants",101,0,,,,"F2.2, 0.3; F3.1, 0.7",,,"F2.2, 0.3; F3.1, 0.7"
1468,KIN,King,Eucalypt Open Woodlands,Eucalyptus open woodlands with shrubby understorey,2,0,,,,,,,
1469,KIN,King,Other Forests and Woodlands,Banksia woodlands,448,0.0001,384,0,"T2.6, 0.7; TF1.6, 0.3","T2.6, 0.7; TF1.6, 0.3",TF1.6,,"T2.6, 0.7; TF1.6, 0.3"
1470,KIN,King,Eucalypt Tall Open Forests,Eucalyptus tall open forest with a fine-leaved shrubby understorey,2493,0.0003,,,,,T2.5,,T2.5
1471,KIN,King,Other Forests and Woodlands,Leptospermum forests and woodlands,2478,0.0003,2377,0.0003,TF1.6,TF1.6,TF1.6,,TF1.6
1472,KIN,King,Eucalypt Woodlands,"Eucalyptus woodlands with ferns, herbs, sedges, rushes or wet tussock grassland",20133,0.0026,20133,0.0026,"T2.5, 0.8; T2.6, 0.2","T2.5, 0.8; T2.6, 0.2",T2.6,,"T2.5, 0.8; T2.6, 0.2"
1473,KIN,King,"Other Grasslands, Herblands, Sedgelands and Rushlands","Sedgelands, rushes or reeds",27798,0.0036,17417,0.0023,TF1.6,TF1.6,TF1.6,,TF1.6
1474,KIN,King,"Other Grasslands, Herblands, Sedgelands and Rushlands",Other grasslands,21,0,,,,,TF1.6,,TF1.6
1475,KIN,King,Unclassified native vegetation,Unclassified native vegetation,128,0,94,0,"T2.6, 0.1; T7.4, 0.9","T2.6, 0.1; T7.4, 0.9","T2.6, 0.1; T7.4, 0.9",,"T2.6, 0.1; T7.4, 0.9"
1476,KIN,King,Mallee Open Woodlands and Sparse Mallee Shrublands,Unknown/no data,7444,0.001,,,,,,,
1477,LSD,Little Sandy Desert,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,1,0,1,0,TF1.5,TF1.5,T4.3,,TF1.5
1478,LSD,Little Sandy Desert,Eucalypt Woodlands,Eucalyptus woodlands with a hummock grass understorey,9,0,9,0,T4.3,T4.3,T4.3,,T4.3
1479,LSD,Little Sandy Desert,Melaleuca Forests and Woodlands,Melaleuca open forests and woodlands,4164,0.0005,,,,,,,
1480,LSD,Little Sandy Desert,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,84,0,,,,,,,
1481,LSD,Little Sandy Desert,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,746482,0.0972,746722,0.0971,T5.3,T5.3,T5.3,,T5.3
1482,LSD,Little Sandy Desert,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,408139,0.0531,408171,0.0531,T5.3,T5.3,T5.3,,T5.3
1483,LSD,Little Sandy Desert,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with chenopods,228,0,,,,,T5.3,,T5.3
1484,LSD,Little Sandy Desert,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with hummock grass,411835,0.0536,,,,,T5.3,,T5.3
1485,LSD,Little Sandy Desert,Hummock Grasslands,Acacia (+/- low) open woodlands and shrublands with hummock grass,757441,0.0986,,,,,T5.3,,T5.3
1486,LSD,Little Sandy Desert,Hummock Grasslands,Mallee with hummock grass,132,0,,,,,T5.3,,T5.3
1487,LSD,Little Sandy Desert,Hummock Grasslands,Hummock grasslands,8445197,1.0993,9619854,1.2515,T5.3,T5.3,T5.3,,T5.3
1488,LSD,Little Sandy Desert,"Chenopod Shrublands, Samphire Shrublands and Forblands","Mixed chenopod, samphire +/- forbs",63660,0.0083,63660,0.0083,"TF1.5, 0.6; F2.7, 0.4","TF1.5, 0.6; F2.7, 0.4","TF1.5, 0.6; F2.7, 0.4",,"TF1.5, 0.6; F2.7, 0.4"
1489,LSD,Little Sandy Desert,"Inland aquatic - freshwater, salt lakes, lagoons",Salt lakes and lagoons,226050,0.0294,218931,0.0285,F2.7,F2.7,F2.7,,F2.7
1490,LSD,Little Sandy Desert,Acacia Open Woodlands,Mulga (Acacia aneura) open woodlands and sparse shrublands +/- tussock grass,9607,0.0013,9025,0.0012,T5.3,T5.3,T5.3,,T5.3
1491,LSD,Little Sandy Desert,Acacia Shrublands,Mulga (Acacia aneura) open woodlands and sparse shrublands +/- tussock grass,1737,0.0002,,,,T5.3,T5.3,,T5.3
1492,LSD,Little Sandy Desert,Other Shrublands,Melaleuca shrublands and open shrublands,14468,0.0019,14468,0.0019,TF1.5,TF1.5,TF1.5,,TF1.5
1493,LSD,Little Sandy Desert,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands and shrublands with hummock grass,189,0,,,,,T5.3,,T5.3
1494,LSD,Little Sandy Desert,Acacia Shrublands,Mulga (Acacia aneura) woodlands and shrublands with hummock grass,81,0,,,,,T5.3,,T5.3
1495,LSD,Little Sandy Desert,Acacia Open Woodlands,Mulga (Acacia aneura) open woodlands and sparse shrublands with hummock grass,293,0,293,0,T5.3,T5.3,T5.3,,T5.3
1496,MAC,MacDonnell Ranges,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,793419,0.1033,,,,,TF1.5,,TF1.5
1497,MAC,MacDonnell Ranges,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,22525,0.0029,22525,0.0029,TF1.5,TF1.5,TF1.5,,TF1.5
1498,MAC,MacDonnell Ranges,Acacia Open Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,229264,0.0298,,,,T5.3,T5.3,,T5.3
1499,MAC,MacDonnell Ranges,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,380165,0.0495,609429,0.0793,T5.3,T5.3,T5.3,,T5.3
1500,MAC,MacDonnell Ranges,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,850908,0.1108,850908,0.1107,T5.3,T5.3,T5.3,,T5.3
1501,MAC,MacDonnell Ranges,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with hummock grass,567897,0.0739,,,,,T5.3,,T5.3
1502,MAC,MacDonnell Ranges,Acacia Open Woodlands,Acacia (+/- low) open woodlands and shrublands +/- tussock grass,166051,0.0216,166051,0.0216,T5.3,T5.3,T5.3,,T5.3
1503,MAC,MacDonnell Ranges,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands +/- tussock grass,82547,0.0107,82547,0.0107,T5.3,T5.3,T5.3,,T5.3
1504,MAC,MacDonnell Ranges,Hummock Grasslands,Hummock grasslands,373802,0.0487,1662983,0.2163,T5.3,T5.3,T5.3,,T5.3
1505,MAC,MacDonnell Ranges,Tussock Grasslands,Other tussock grasslands,3586,0.0005,3586,0.0005,"T4.5, 0.7; T5.1, 0.3","T4.5, 0.7; T5.1, 0.3","T4.5, 0.7; T5.1, 0.3",,"T4.5, 0.7; T5.1, 0.3"
1506,MAC,MacDonnell Ranges,Hummock Grasslands,Other tussock grasslands,462,0.0001,,,,"T4.5, 0.7; T5.1, 0.3",T5.3,,"T4.5, 0.7; T5.1, 0.3"
1507,MAC,MacDonnell Ranges,Acacia Open Woodlands,Mulga (Acacia aneura) open woodlands and sparse shrublands +/- tussock grass,37740,0.0049,37740,0.0049,T5.3,T5.3,T5.3,,T5.3
1508,MAC,MacDonnell Ranges,Tussock Grasslands,Mulga (Acacia aneura) open woodlands and sparse shrublands +/- tussock grass,44936,0.0058,,,,T5.3,"T4.5, 0.7; T5.1, 0.3",,T5.3
1509,MAC,MacDonnell Ranges,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands and shrublands with hummock grass,48092,0.0063,48092,0.0063,T5.3,T5.3,T5.3,,T5.3
1510,MAC,MacDonnell Ranges,Acacia Shrublands,Mulga (Acacia aneura) open woodlands and sparse shrublands with hummock grass,21498,0.0028,21498,0.0028,T5.3,T5.3,T5.3,,T5.3
1511,MAC,MacDonnell Ranges,Other Open Woodlands,Casuarina and Allocasuarina open woodlands with a hummock grass understorey,306581,0.0399,306581,0.0399,"T5.6, 0.6; T5.3, 0.4","T5.6, 0.6; T5.3, 0.4","T5.6, 0.6; T5.3, 0.4",,"T5.6, 0.6; T5.3, 0.4"
1512,MAL,Mallee,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,6689,0.0009,4851,0.0006,T2.6,T2.6,T2.6,,T2.6
1513,MAL,Mallee,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,2235487,0.291,1218921,0.1586,T5.6,T5.6,T5.6,,T5.6
1514,MAL,Mallee,Melaleuca Forests and Woodlands,Melaleuca open forests and woodlands,88,0,41,0,"F2.7, 0.5; TF1.2, 0.1; TF1.5, 0.4","F2.7, 0.5; TF1.2, 0.1; TF1.5, 0.4","F2.7, 0.5; TF1.2, 0.1; TF1.5, 0.4",,"F2.7, 0.5; TF1.2, 0.1; TF1.5, 0.4"
1515,MAL,Mallee,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,234888,0.0306,111387,0.0145,T3.2,T3.2,T3.2,,T3.2
1516,MAL,Mallee,Acacia Open Woodlands,Acacia (+/- low) open woodlands and shrublands with chenopods,34,0,,,,,,,
1517,MAL,Mallee,Casuarina Forests and Woodlands,Casuarina and Allocasuarina forests and woodlands,628,0.0001,127,0,T5.6,T5.6,T5.6,,T5.6
1518,MAL,Mallee,Mallee Woodlands and Shrublands,Mallee with hummock grass,444213,0.0578,74868,0.0097,T5.6,T5.6,"T5.6, 0.9; T3.2, 0.1",,T5.6
1519,MAL,Mallee,Low Closed Forests and Tall Closed Shrublands,"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)",1750,0.0002,4415,0.0006,T3.2,T3.2,T3.2,,T3.2
1520,MAL,Mallee,Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,2437673,0.3173,1910950,0.2486,"T5.6, 0.9; T3.2, 0.1","T5.6, 0.9; T3.2, 0.1","T5.6, 0.9; T3.2, 0.1",,"T5.6, 0.9; T3.2, 0.1"
1521,MAL,Mallee,"Chenopod Shrublands, Samphire Shrublands and Forblands",Saltbush and bluebush shrublands,736,0.0001,770,0.0001,T5.1,T5.1,"TF1.5, 0.5; F2.7, 0.4; T5.1, 0.1",,T5.1
